full_match,partial_match,total,date
21,0,21,2026-07-17
21,0,21,2026-07-18
21,0,21,2026-07-19
21,0,21,2026-07-20
21,0,21,2026-07-21
21,0,21,2026-07-22
21,0,21,2026-07-23
21,0,21,2026-07-24
21,0,21,2026-07-25
21,0,21,2026-07-26
21,0,21,2026-07-27
21,0,21,2026-07-28
21,0,21,2026-07-29
21,0,21,2026-07-30
21,0,21,2026-07-31
21,0,21,2026-08-01
21,0,21,2026-08-02
21,0,21,2026-08-03
21,0,21,2026-08-04
21,0,21,2026-08-05
21,0,21,2026-08-06
21,0,21,2026-08-07
21,0,21,2026-08-08
21,0,21,2026-08-09
21,0,21,2026-08-10
21,0,21,2026-08-11
21,0,21,2026-08-12
21,0,21,2026-08-13
21,0,21,2026-08-14
21,0,21,2026-08-15
21,0,21,2026-08-16
21,0,21,2026-08-17
21,0,21,2026-08-18
21,0,21,2026-08-19
21,0,21,2026-08-20
21,0,21,2026-08-21
21,0,21,2026-08-22
